id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
215,MTP_DSL,True,True,False,54,-18.6,7.435
215,RAW_LLM,True,True,True,59,31.4,4.112
216,MTP_DSL,True,True,True,54,-90.0,6.242
216,RAW_LLM,False,False,False,38,-105.8,3.868
217,MTP_DSL,True,True,True,54,75.1,8.141
217,RAW_LLM,True,True,True,84,75.1,4.72
218,MTP_DSL,True,True,True,55,-53.3,5.374
218,RAW_LLM,True,True,True,37,-53.3,3.478
219,MTP_DSL,True,True,False,54,-11.1,6.7
219,RAW_LLM,True,True,True,63,-27.1,3.506
220,MTP_DSL,True,True,True,54,-87.2,5.965
220,RAW_LLM,True,True,True,37,-87.2,4.072
221,MTP_DSL,True,True,True,53,62.2,7.354
221,RAW_LLM,True,True,True,85,62.2,5.541
222,MTP_DSL,True,True,True,54,90.0,6.745
222,RAW_LLM,False,False,False,37,185.2,3.484
223,MTP_DSL,True,True,False,54,-54.7,6.4
223,RAW_LLM,True,True,True,63,-23.3,3.422
224,MTP_DSL,True,True,True,54,-29.1,7.25
224,RAW_LLM,True,True,True,37,-29.1,4.306
225,MTP_DSL,True,True,True,54,-10.1,5.914
225,RAW_LLM,True,True,True,37,-10.1,4.134
226,MTP_DSL,True,True,True,53,-6.5,8.47
226,RAW_LLM,True,True,True,85,-6.5,6.393
227,MTP_DSL,True,True,True,54,-55.8,7.271
227,RAW_LLM,True,True,True,35,-55.8,4.58
228,MTP_DSL,True,True,True,53,22.6,4.955
228,RAW_LLM,True,True,True,37,22.6,2.941
229,MTP_DSL,True,True,True,54,-60.4,8.445
229,RAW_LLM,True,True,True,83,-60.4,5.559
230,MTP_DSL,True,True,True,52,6.0,4.75
230,RAW_LLM,True,True,True,36,6.0,2.934
231,MTP_DSL,True,True,True,54,27.6,5.595
231,RAW_LLM,True,True,True,36,27.6,3.591
232,MTP_DSL,True,True,True,54,-90.0,6.482
232,RAW_LLM,False,False,False,38,-195.3,3.815
233,MTP_DSL,True,True,True,54,-89.8,6.362
233,RAW_LLM,True,True,True,37,-89.8,4.426
234,MTP_DSL,True,True,True,54,-72.9,6.102
234,RAW_LLM,True,True,True,37,-72.9,3.917
235,MTP_DSL,True,True,True,55,-37.8,5.605
235,RAW_LLM,True,True,True,37,-37.8,3.726
236,MTP_DSL,True,True,True,55,-90.0,5.47
236,RAW_LLM,False,False,False,38,-255.5,3.218
237,MTP_DSL,True,True,True,54,-16.2,5.557
237,RAW_LLM,True,True,True,38,-16.2,3.178
238,MTP_DSL,True,True,True,55,-90.0,5.98
238,RAW_LLM,False,False,False,38,-174.3,3.352
239,MTP_DSL,True,True,True,53,0.0,4.529
239,RAW_LLM,True,True,True,27,0.0,3.197
240,MTP_DSL,True,True,True,53,59.6,8.634
240,RAW_LLM,True,True,True,82,59.6,4.953
241,MTP_DSL,True,True,True,54,-39.6,5.878
241,RAW_LLM,True,True,True,35,-39.6,4.201
242,MTP_DSL,True,True,True,55,-21.3,9.032
242,RAW_LLM,True,True,True,37,-21.3,4.991
243,MTP_DSL,True,True,True,52,9.3,12.609
243,RAW_LLM,True,True,True,84,9.3,6.911
244,MTP_DSL,True,True,False,54,-60.0,11.698
244,RAW_LLM,True,True,True,63,-43.8,5.628
245,MTP_DSL,True,True,True,53,90.0,8.561
245,RAW_LLM,False,False,False,38,314.6,4.991
246,MTP_DSL,True,True,True,55,-39.1,8.367
246,RAW_LLM,True,True,True,37,-39.1,5.744
247,MTP_DSL,True,True,True,53,71.2,8.816
247,RAW_LLM,True,True,True,34,71.2,5.475
248,MTP_DSL,True,True,True,55,-47.7,8.785
248,RAW_LLM,True,True,True,37,-47.7,5.057
249,MTP_DSL,True,True,True,54,68.6,6.289
249,RAW_LLM,True,True,True,36,68.6,3.548
